scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3D_br,mMed1000_mDM200_lam2p0,1000.0,200.0,2.0,73.3386,0.0506911403,10000
S3D_br,mMed1000_mDM200_lam2p2,1000.0,200.0,2.2,88.7397,0.06703725932,10000
S3D_br,mMed1000_mDM200_lam2p5,1000.0,200.0,2.5,114.5916,0.09600887759999999,10000
S3D_br,mMed1000_mDM200_lam3p0,1000.0,200.0,3.0,165.0118,0.1765149332,10000
S3D_br,mMed1000_mDM200_lam3p5,1000.0,200.0,3.5,224.5995,0.3032048518,10000
S3D_br,mMed1000_mDM200_lam4p0,1000.0,200.0,4.0,293.3544,0.490209358,10000
S3D_br,mMed1000_mDM200_lam4p5,1000.0,200.0,4.5,371.2767,0.764734688,10000
S3D_br,mMed1000_mDM200_lam5p0,1000.0,200.0,5.0,458.3662,1.138381668,10000
S3D_br,mMed1000_mDM500_lam1p0,1000.0,500.0,1.0,11.19058,0.007836633047999999,10000
S3D_br,mMed1000_mDM500_lam1p5,1000.0,500.0,1.5,25.17881,0.011545845313,10000
S3D_br,mMed1000_mDM500_lam2p0,1000.0,500.0,2.0,44.76233,0.01762655331,10000
S3D_br,mMed1000_mDM500_lam2p2,1000.0,500.0,2.2,54.16242,0.020936623510000002,10000
S3D_br,mMed1000_mDM500_lam2p5,1000.0,500.0,2.5,69.94114,0.02707674559,10000
S3D_br,mMed1000_mDM500_lam3p0,1000.0,500.0,3.0,100.7152,0.03844124113,10000
S3D_br,mMed1000_mDM500_lam3p5,1000.0,500.0,3.5,137.0846,0.058087192499999996,10000
S3D_br,mMed1000_mDM500_lam4p0,1000.0,500.0,4.0,179.0493,0.0868605732,10000
S3D_br,mMed1000_mDM500_lam4p5,1000.0,500.0,4.5,226.6093,0.12701246900000002,10000
S3D_br,mMed1000_mDM500_lam5p0,1000.0,500.0,5.0,279.7645,0.1802733329,10000
S3D_br,mMed1000_mDM750_lam1p0,1000.0,750.0,1.0,3.807906,0.0065978128235,10000
S3D_br,mMed1000_mDM750_lam1p5,1000.0,750.0,1.5,8.567789,0.0083469111356,10000
S3D_br,mMed1000_mDM750_lam2p0,1000.0,750.0,2.0,15.23163,0.010958943209,10000
S3D_br,mMed1000_mDM750_lam2p2,1000.0,750.0,2.2,18.43027,0.012250728956,10000
S3D_br,mMed1000_mDM750_lam2p5,1000.0,750.0,2.5,23.79941,0.014527880468000002,10000
S3D_br,mMed1000_mDM750_lam3p0,1000.0,750.0,3.0,34.27116,0.01936577061,10000
S3D_br,mMed1000_mDM750_lam3p5,1000.0,750.0,3.5,46.64685,0.025828723799999998,10000
S3D_br,mMed1000_mDM750_lam4p0,1000.0,750.0,4.0,60.9265,0.03427087273,10000
S3D_br,mMed1000_mDM750_lam4p5,1000.0,750.0,4.5,77.1101,0.04533350355,10000
S3D_br,mMed1000_mDM750_lam5p0,1000.0,750.0,5.0,95.19766,0.05977710319,10000
