scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed750_mDM1_lam1p5,750.0,1.0,1.5,33.57163,0.17285071115,10000
S3M_br,mMed750_mDM1_lam2p0,750.0,1.0,2.0,59.68289,0.3668430783,10000
S3M_br,mMed750_mDM1_lam2p2,750.0,1.0,2.2,72.2163,0.4882520857,10000
S3M_br,mMed750_mDM1_lam2p5,750.0,1.0,2.5,93.25452,0.7393085907,10000
S3M_br,mMed750_mDM1_lam3p0,750.0,1.0,3.0,134.2865,1.384791409,10000
S3M_br,mMed750_mDM1_lam3p5,750.0,1.0,3.5,182.7789,2.387201519,10000
S3M_br,mMed750_mDM1_lam4p0,750.0,1.0,4.0,238.7316,3.897460944,10000
S3M_br,mMed750_mDM1_lam4p5,750.0,1.0,4.5,302.1446,5.889209570999999,10000
S3M_br,mMed750_mDM1_lam5p0,750.0,1.0,5.0,373.0181,9.01414023,10000
S3M_br,mMed750_mDM10_lam1p0,750.0,10.0,1.0,14.91547,0.08011739004,10000
S3M_br,mMed750_mDM10_lam1p5,750.0,10.0,1.5,33.55981,0.17356521583,10000
S3M_br,mMed750_mDM10_lam2p0,750.0,10.0,2.0,59.66188,0.3672118103,10000
S3M_br,mMed750_mDM10_lam2p2,750.0,10.0,2.2,72.19088,0.4949003524,10000
S3M_br,mMed750_mDM10_lam2p5,750.0,10.0,2.5,93.2217,0.7273365256,10000
S3M_br,mMed750_mDM10_lam3p0,750.0,10.0,3.0,134.2392,1.360154941,10000
S3M_br,mMed750_mDM10_lam3p5,750.0,10.0,3.5,182.7145,2.352779694,10000
S3M_br,mMed750_mDM10_lam4p0,750.0,10.0,4.0,238.6475,3.926627009,10000
S3M_br,mMed750_mDM10_lam4p5,750.0,10.0,4.5,302.0383,6.049216009,10000
S3M_br,mMed750_mDM10_lam5p0,750.0,10.0,5.0,372.8868,9.01383113,10000
S3M_br,mMed750_mDM50_lam1p0,750.0,50.0,1.0,14.78844,0.07573214906,10000
S3M_br,mMed750_mDM50_lam1p5,750.0,50.0,1.5,33.27399,0.1552127545,10000
S3M_br,mMed750_mDM50_lam2p0,750.0,50.0,2.0,59.15377,0.318070059,10000
S3M_br,mMed750_mDM50_lam2p2,750.0,50.0,2.2,71.57606,0.4168274802,10000
S3M_br,mMed750_mDM50_lam2p5,750.0,50.0,2.5,92.42776,0.5979460573,10000
S3M_br,mMed750_mDM50_lam3p0,750.0,50.0,3.0,133.096,1.091402066,10000
S3M_br,mMed750_mDM50_lam3p5,750.0,50.0,3.5,181.1584,1.8757480149999999,10000
S3M_br,mMed750_mDM50_lam4p0,750.0,50.0,4.0,236.6151,3.0520728790000002,10000
S3M_br,mMed750_mDM50_lam4p5,750.0,50.0,4.5,299.4659,4.687931128,10000
S3M_br,mMed750_mDM50_lam5p0,750.0,50.0,5.0,369.711,6.948623359999999,10000
S3M_br,mMed750_mDM100_lam1p0,750.0,100.0,1.0,14.39498,0.06979434022,10000
S3M_br,mMed750_mDM100_lam1p5,750.0,100.0,1.5,32.38869,0.12927103908,10000
S3M_br,mMed750_mDM100_lam2p0,750.0,100.0,2.0,57.5799,0.243840519,10000
S3M_br,mMed750_mDM100_lam2p2,750.0,100.0,2.2,69.67168,0.3111487882,10000
S3M_br,mMed750_mDM100_lam2p5,750.0,100.0,2.5,89.96859,0.4284509645,10000
S3M_br,mMed750_mDM100_lam3p0,750.0,100.0,3.0,129.5548,0.746301031,10000
S3M_br,mMed750_mDM100_lam3p5,750.0,100.0,3.5,176.3384,1.2388434990000001,10000
S3M_br,mMed750_mDM100_lam4p0,750.0,100.0,4.0,230.3196,1.9770433639999998,10000
S3M_br,mMed750_mDM100_lam4p5,750.0,100.0,4.5,291.4982,2.995155847,10000
S3M_br,mMed750_mDM100_lam5p0,750.0,100.0,5.0,359.8744,4.422431549,10000
S3M_br,mMed750_mDM200_lam1p0,750.0,200.0,1.0,12.87416,0.060273053378000006,10000
S3M_br,mMed750_mDM200_lam1p5,750.0,200.0,1.5,28.96686,0.09580517257,10000
S3M_br,mMed750_mDM200_lam2p0,750.0,200.0,2.0,51.49664,0.1556873557,10000
S3M_br,mMed750_mDM200_lam2p2,750.0,200.0,2.2,62.31094,0.1868033468,10000
S3M_br,mMed750_mDM200_lam2p5,750.0,200.0,2.5,80.46351,0.231942266,10000
S3M_br,mMed750_mDM200_lam3p0,750.0,200.0,3.0,115.8675,0.3666040679,10000
S3M_br,mMed750_mDM200_lam3p5,750.0,200.0,3.5,157.7085,0.563438966,10000
S3M_br,mMed750_mDM200_lam4p0,750.0,200.0,4.0,205.9866,0.8410845769999999,10000
S3M_br,mMed750_mDM200_lam4p5,750.0,200.0,4.5,260.7018,1.225443557,10000
S3M_br,mMed750_mDM200_lam5p0,750.0,200.0,5.0,321.854,1.751972294,10000
S3M_br,mMed750_mDM500_lam1p0,750.0,500.0,1.0,4.605178,0.0452449638096,10000
S3M_br,mMed750_mDM500_lam1p5,750.0,500.0,1.5,10.36165,0.05728964333,10000
S3M_br,mMed750_mDM500_lam2p0,750.0,500.0,2.0,18.42071,0.07401952908500001,10000
S3M_br,mMed750_mDM500_lam2p2,750.0,500.0,2.2,22.28906,0.081975737098,10000
S3M_br,mMed750_mDM500_lam2p5,750.0,500.0,2.5,28.78236,0.094413480803,10000
S3M_br,mMed750_mDM500_lam3p0,750.0,500.0,3.0,41.4466,0.11934323535000001,10000
S3M_br,mMed750_mDM500_lam3p5,750.0,500.0,3.5,56.41343,0.14961372449,10000
S3M_br,mMed750_mDM500_lam4p0,750.0,500.0,4.0,73.68284,0.18652064722,10000
S3M_br,mMed750_mDM500_lam4p5,750.0,500.0,4.5,93.25485,0.2111839188,10000
S3M_br,mMed750_mDM500_lam5p0,750.0,500.0,5.0,115.1294,0.2621063305,10000
S3M_br,mMed1000_mDM1_lam1p0,1000.0,1.0,1.0,19.89433,0.016117475779,10000
S3M_br,mMed1000_mDM1_lam1p5,1000.0,1.0,1.5,44.76224,0.04504641526,10000
S3M_br,mMed1000_mDM1_lam2p0,1000.0,1.0,2.0,79.57731,0.11323899467000001,10000
S3M_br,mMed1000_mDM1_lam2p2,1000.0,1.0,2.2,96.28855,0.1527795163,10000
S3M_br,mMed1000_mDM1_lam2p5,1000.0,1.0,2.5,124.3396,0.24574737900000002,10000
S3M_br,mMed1000_mDM1_lam3p0,1000.0,1.0,3.0,179.049,0.473353781,10000
S3M_br,mMed1000_mDM1_lam3p5,1000.0,1.0,3.5,243.7055,0.8537196766,10000
S3M_br,mMed1000_mDM1_lam4p0,1000.0,1.0,4.0,318.3092,1.4326185710000001,10000
S3M_br,mMed1000_mDM1_lam4p5,1000.0,1.0,4.5,402.8601,2.170905527,10000
S3M_br,mMed1000_mDM1_lam5p0,1000.0,1.0,5.0,497.3582,3.361323901,10000
S3M_br,mMed1000_mDM10_lam1p0,1000.0,10.0,1.0,19.89039,0.016368565216,10000
S3M_br,mMed1000_mDM10_lam1p5,1000.0,10.0,1.5,44.75338,0.0453694191,10000
S3M_br,mMed1000_mDM10_lam2p0,1000.0,10.0,2.0,79.56156,0.10946353,10000
S3M_br,mMed1000_mDM10_lam2p2,1000.0,10.0,2.2,96.26948,0.1536506501,10000
S3M_br,mMed1000_mDM10_lam2p5,1000.0,10.0,2.5,124.3149,0.24774904729999997,10000
S3M_br,mMed1000_mDM10_lam3p0,1000.0,10.0,3.0,179.0135,0.48467376379999993,10000
S3M_br,mMed1000_mDM10_lam3p5,1000.0,10.0,3.5,243.6573,0.8523412518,10000
S3M_br,mMed1000_mDM10_lam4p0,1000.0,10.0,4.0,318.2462,1.446524457,10000
S3M_br,mMed1000_mDM10_lam4p5,1000.0,10.0,4.5,402.7804,2.249888664,10000
